movieId,title,genres,tmdbid,overview,production_countries,runtime,spoken_languages,vote_average,vote_count
1,Toy Story (1995),"Adventure,Animation,Children,Comedy,Fantasy",862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",United States of America,81,English,8.0,18253
2,Jumanji (1995),"Adventure,Children,Fantasy",8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",United States of America,104,"English,Français",7.2,10435
3,Grumpier Old Men (1995),"Comedy,Romance",15602,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",United States of America,101,English,6.5,374
4,Waiting to Exhale (1995),"Comedy,Drama,Romance",31357,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",United States of America,127,English,6.3,160
5,Father of the Bride Part II (1995),Comedy,11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",United States of America,106,English,6.2,725
6,Heat (1995),"Action,Crime,Thriller",949,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,United States of America,170,"English,Español",7.9,7214
7,Sabrina (1995),"Comedy,Romance",11860,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","Germany,United States of America",127,"English,Français",6.2,610
8,Tom and Huck (1995),"Adventure,Children",45325,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",United States of America,97,English,5.3,184
9,Sudden Death (1995),Action,9091,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,United States of America,110,English,6.0,709
10,GoldenEye (1995),"Action,Adventure,Thriller",710,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon","United Kingdom,United States of America",130,"English,Pусский,Español",6.9,3825
11,"American President, The (1995)","Comedy,Drama,Romance",9087,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",United States of America,114,"Français,English",6.5,697
12,Dracula: Dead and Loving It (1995),"Comedy,Horror",12110,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","France,United States of America",88,English,6.1,961
13,Balto (1995),"Adventure,Animation,Children",21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",United States of America,78,English,7.3,2012
14,Nixon (1995),Drama,10858,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,United States of America,192,English,6.9,359
15,Cutthroat Island (1995),"Action,Adventure,Romance",1408,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","France,Germany,Italy,United States of America",124,"English,Français,Latin,Español",5.8,536
16,Casino (1995),"Crime,Drama",524,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","France,United States of America",179,English,8.0,5751
17,Sense and Sensibility (1995),"Drama,Romance",4584,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","United Kingdom,United States of America",136,English,7.4,1645
18,Four Rooms (1995),Comedy,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,United States of America,98,English,5.8,2619
19,Ace Ventura: When Nature Calls (1995),Comedy,9273,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",United States of America,90,English,6.3,4089
20,Money Train (1995),"Action,Comedy,Crime,Drama,Thriller",11517,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",United States of America,110,English,5.8,750
21,Get Shorty (1995),"Comedy,Crime,Thriller",8012,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",United States of America,105,English,6.5,1024
22,Copycat (1995),"Crime,Drama,Horror,Mystery,Thriller",1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,United States of America,124,"Deutsch,English,Italiano",6.5,936
23,Assassins (1995),"Action,Crime,Thriller",9691,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","France,United States of America",132,"English,Español,Nederlands",6.5,1529
24,Powder (1995),"Drama,Sci-Fi",12665,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",United States of America,111,English,7.0,638
25,Leaving Las Vegas (1995),"Drama,Romance",451,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","France,United Kingdom,United States of America",111,"English,Italiano,Pусский",7.3,1408
26,Othello (1995),Drama,16420,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Italy,United Kingdom,United States of America",123,English,6.4,138
27,Now and Then (1995),"Children,Drama",9263,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",United States of America,100,English,6.9,419
28,Persuasion (1995),"Drama,Romance",17015,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.","France,United Kingdom,United States of America",107,English,7.1,127
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure,Drama,Fantasy,Mystery,Sci-Fi",902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Belgium,France,Germany,Spain",113,"""广州话 / 廣州話"",Français",7.2,1076
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Crime,Drama",37557,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","China,France",108,普通话,6.8,93
31,Dangerous Minds (1995),Drama,9909,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",United States of America,99,English,7.0,1130
